2026-03-16 12:33:19 | INFO     | investment_agent |    数据预览：[{'date': Timestamp('2026-02-24 00:00:00'), '股票代码': '000001', 'open': 10.93, 'close': 10.91, 'high': 10.95, 'low': 10.88, 'volume': 602512, 'amount': 657487700.23, '振幅': 0.64, 'pct_change': 0.0, '涨跌额': 0.0, '换手率': 0.31}, {'date': Timestamp('2026-02-25 00:00:00'), '股票代码': '000001', 'open': 10.91, 'close': 10.86, 'high': 10.95, 'low': 10.78, 'volume': 1063135, 'amount': 1156693737.43, '振幅': 1.56, 'pct_change': -0.46, '涨跌额': -0.05, '换手率': 0.55}, {'date': Timestamp('2026-02-26 00:00:00'), '股票代码': '000001', 'open': 10.86, 'close': 10.87, 'high': 10.91, 'low': 10.8, 'volume': 712730, 'amount': 772947726.7, '振幅': 1.01, 'pct_change': 0.09, '涨跌额': 0.01, '换手率': 0.37}, {'date': Timestamp('2026-02-27 00:00:00'), '股票代码': '000001', 'open': 10.86, 'close': 10.9, 'high': 10.92, 'low': 10.84, 'volume': 612228, 'amount': 666177345.8, '振幅': 0.74, 'pct_change': 0.28, '涨跌额': 0.03, '换手率': 0.32}, {'date': Timestamp('2026-03-02 00:00:00'), '股票代码': '000001', 'open': 10.85, 'close': 10.85, 'high': 10.89, 'low': 10.77, 'volume': 838874, 'amount': 908747811.55, '振幅': 1.1, 'pct_change': -0.46, '涨跌额': -0.05, '换手率': 0.43}]
2026-03-16 12:33:19 | INFO     | investment_agent | ⚡ 模拟调用：获取 000001 实时价格...
2026-03-16 12:33:31 | ERROR    | investment_agent | [AkShare] 实时获取失败：('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-16 12:33:31 | INFO     | investment_agent | 💰 实时价格结果：{'symbol': '000001', 'current_price': 0.0, 'currency': 'CNY'}
2026-03-16 12:33:31 | INFO     | investment_agent | ✨ 阶段 2 (重构版) 测试成功！Skill 架构运行正常。
2026-03-16 14:21:29 | INFO     | investment_agent | 🚀 启动阶段 2 (重构版)：Skill 架构测试
2026-03-16 14:21:29 | INFO     | investment_agent | 📦 已加载技能数量：1
2026-03-16 14:21:29 | INFO     | investment_agent |    - 技能名：get_market_data
2026-03-16 14:21:29 | INFO     | investment_agent |      描述：获取 A 股股票或场内ETF的历史行情或实时价格。当用户询问某只股票或场内ETF的价格、走势、历史数...
2026-03-16 14:21:29 | INFO     | investment_agent | ✅ 成功找到技能：get_market_data
2026-03-16 14:21:29 | INFO     | investment_agent | 📡 模拟调用：获取 000001 历史数据...
2026-03-16 14:21:29 | INFO     | investment_agent | 未提供日期，默认获取最近 30 天：20260214 至 20260316
2026-03-16 14:21:29 | INFO     | investment_agent | 🌐 [Cache Miss] 本地无数据，正在调用 AkShare 获取 000001...
2026-03-16 14:21:29 | INFO     | investment_agent | [AkShare] 正在获取 000001 历史数据...
2026-03-16 14:21:30 | INFO     | investment_agent | [AkShare] 成功获取 15 条记录。
2026-03-16 14:21:30 | ERROR    | investment_agent | ❌ 获取外部数据失败：(sqlite3.IntegrityError) NOT NULL constraint failed: stock_daily.trade_date
